cytoband	6p21.1	11q22.2	1q21.3	15q26.3	17p11.2	7p22.3	11q23.3	
			TRIM46					
			TARS2					
			FLAD1					
			SNX27					
			ANP32E					
			HORMAD1					
			LCE3D					
			AQP10					
			PYGO2					
			NUP210L					
			MEX3A					
			PGLYRP3					
			THEM4					
			GABPB2					
			TCHHL1					
			RPTN					
			TDRD10					
			SHE					
			HIST2H3C					
			DCST2					
			S100A16					
			CREB3L4					
			C1orf51					
			LELP1					
			DCST1					
			BNIPL					
			SPRR4					
			LCE4A					
			KRTCAP2					
			CRTC2					
			LCE5A					
			RIIAD1					
			THEM5					
			RUSC1-AS1					
			HIST2H2AB					
			HIST2H3A					
			HIST2H2BC					
			S100A7A					
			LINGO4					
			RXFP4					
			LCE1A					
			LCE1B					
			LCE1C					
			LCE1D					
			LCE1E					
			LCE1F					
			LCE2A					
			LCE2C					
			LCE2D					
			LCE3A					
			LCE3B					
			LCE3C					
			LCE3E					
			LYSMD1					
			HRNR					
			FLG2					
			C1orf189					
			HIST2H2BF					
			KPRP					
			LCE6A					
			HIST2H4B					
			PRR9					
			LOC645676					
			POU5F1P4					
			S100A7L2					
			HIST2H3D					
			SCARNA4					
			SNORA42					
			MIR554					
			MIR555					
			MIR92B					
			HIST2H2AA4					
			MIR190B					
			C1orf68					
			MSTO2P					
			LOC100132111					
			C2CD4D					
			MIR4257					
			MIR4258					
			LOC100505666					
			TNFAIP8L2-SCNM1					
