"Cytoband","Variant_Classification","Wide_Peak_Limits","qvalues","nSamples","TotSamples","nGenes","Genes","disease","tissue"
"8q24.3","Amp","chr8:141831125-143319591",0.0068138,28,36,11,"DENND3, FLJ43860, GPR20, LINC00051, LOC731779, MIR4472-1, PTK2, PTP4A3, SLC45A4, TSNARE1, hsa-mir-1302-7","Osteosarcoma","Primary"
"3p11.2","Del","chr3:87283615-94662258",0.025992,15,36,11,"ARL13B, C3orf38, CGGBP1, DHFRL1, EPHA3, HTR1F, NSUN3, POU1F1, PROS1, STX19, ZNF654","Osteosarcoma","Primary"
"1p31.1","Amp","chr1:71327035-97485027",0.038155,19,36,137,"ABCA4, ABCD3, ACADM, AK5, ALG14, ARHGAP29, ASB17, BARHL2, BCAR3, BCL10, BRDT, BTBD8, C1orf146, C1orf173, C1orf180, C1orf52, CCBL2, CCDC18, CDC7, CLCA1, CLCA2, CLCA3P, CLCA4, CNN3, COL24A1, CRYZ, CTBS, CYR61, DDAH1, DNAJB4, DNASE2B, DNTTIP2, DR1, ELTD1, EPHX4, EVI5, F3, FAM69A, FAM73A, FLJ27354, FLJ31662, FNBP1L, FPGT, FPGT-TNNI3K, FUBP1, GBP1, GBP1P1, GBP2, GBP3, GBP4, GBP5, GBP6, GBP7, GCLM, GEMIN8P4, GFI1, GIPC2, GLMN, GNG5, GTF2B, HFM1, HS2ST1, HSP90B3P, IFI44, IFI44L, KIAA1107, LHX8, LMO4, LOC100129046, LOC100131564, LOC100505768, LOC339524, LOC646626, LOC729970, LPAR3, LPHN2, LRRC8B, LRRC8C, LRRC8D, LRRIQ3, MCOLN2, MCOLN3, MGC27382, MIR186, MIR4423, MIR760, MSH4, MTF2, NEGR1, NEGR1-IT1, NEXN, ODF2L, PIGK, PKN2, PRKACB, PTBP2, PTGER3, PTGFR, RABGGTB, RBMXL1, RPAP2, RPF1, RPL5, RWDD3, SAMD13, SEP15, SH3GLB1, SLC44A3, SLC44A5, SNORA66, SNORD21, SNORD45A, SNORD45B, SNORD45C, SSX2IP, ST6GALNAC3, ST6GALNAC5, SYDE2, TGFBR3, TMED5, TMEM56, TMEM56-RWDD3, TNNI3K, TTLL7, TYW3, UOX, USP33, WDR63, ZNF326, ZNF644, ZNHIT6, ZRANB2, ZRANB2-AS1, ZRANB2-AS2, ZZZ3, hsa-mir-186, hsa-mir-760","Osteosarcoma","Primary"
"19p13.2","Amp","chr19:13074243-14030549",0.04069,13,36,22,"C19orf53, C19orf57, CACNA1A, CC2D1A, CCDC130, DAND5, IER2, LOC284454, LYL1, MIR181C, MIR181D, MIR23A, MIR24-2, MIR27A, MRI1, NACC1, NANOS3, NFIX, STX10, TRMT1, ZSWIM4, hsa-mir-181d","Osteosarcoma","Primary"
"17p13.1","Del","chr17:7517847-7750527",0.041395,13,36,8,"ATP1B2, DNAH2, EFNB3, RPL29P2, SAT2, SHBG, TP53, WRAP53","Osteosarcoma","Primary"
"1q43","Del","chr1:226795921-249250621",0.041395,14,36,199,"ABCB10, ACTA1, ACTN2, ADCK3, ADSS, AGT, AHCTF1, AKT3, ARF1, ARID4B, ARV1, B3GALNT2, C1orf100, C1orf101, C1orf124, C1orf131, C1orf150, C1orf198, C1orf229, C1orf31, C1orf35, C1orf96, CAPN9, CDC42BPA, CEP170, CHML, CHRM3, CNST, COG2, DISC1, DISC2, DUSP5P, EDARADD, EFCAB2, EGLN1, ERO1LB, EXO1, EXOC8, FAM36A, FAM89A, FH, FMN2, GALNT2, GGPS1, GJC2, GNG4, GNPAT, GPR137B, GREM2, GUK1, HEATR1, HIST3H2A, HIST3H2BB, HIST3H3, HNRNPU, HNRNPU-AS1, IBA57, IRF2BP2, ITPKB, JMJD4, KCNK1, KIAA1383, KIAA1804, KIF26B, KMO, LGALS8, LGALS8-AS1, LINC00184, LOC100130093, LOC100130331, LOC100287814, LOC100506795, LOC100506810, LOC148824, LOC149134, LOC255654, LOC339529, LOC339535, LOC646627, LOC731275, LYST, MAP1LC3C, MIR1182, MIR1537, MIR3123, MIR3124, MIR3620, MIR3916, MIR4427, MIR4666A, MIR4671, MIR4677, MIR4753, MRPL55, MTR, NID1, NLRP3, NTPCR, NUP133, OBSCN, OPN3, OR11L1, OR13G1, OR14A16, OR14C36, OR14I1, OR1C1, OR2AK2, OR2B11, OR2C3, OR2G2, OR2G3, OR2G6, OR2L13, OR2L1P, OR2L2, OR2L3, OR2L8, OR2M1P, OR2M2, OR2M3, OR2M4, OR2M5, OR2M7, OR2T1, OR2T10, OR2T11, OR2T12, OR2T2, OR2T27, OR2T29, OR2T3, OR2T33, OR2T34, OR2T35, OR2T4, OR2T5, OR2T6, OR2T8, OR2W3, OR2W5, OR6F1, PCNXL2, PGBD2, PGBD5, PLD5, PPPDE1, PRSS38, PSEN2, RAB4A, RBM34, RGS7, RHOU, RNF187, RPS7P5, RYR2, SCCPDH, SDCCAG8, SH3BP5L, SIPA1L2, SLC35F3, SMYD3, SNAP47, SNORA14B, SNRPD2P2, SPHAR, TAF5L, TARBP1, TBCE, TFB2M, TOMM20, TRIM11, TRIM17, TRIM58, TRIM67, TSNAX, TSNAX-DISC1, TTC13, URB2, VN1R5, WDR64, WNT3A, WNT9A, ZNF124, ZNF238, ZNF496, ZNF669, ZNF670, ZNF670-ZNF695, ZNF672, ZNF678, ZNF692, ZNF695, ZNF847P, ZP4, hsa-mir-1182, hsa-mir-1537, hsa-mir-3123, hsa-mir-3124","Osteosarcoma","Primary"
"2q37.1","Del","chr2:227041478-243199373",0.041395,22,36,173,"AGAP1, AGFG1, AGXT, ALPI, ALPP, ALPPL2, ANKMY1, ANO7, AQP12A, AQP12B, ARL4C, ARMC9, ASB1, ASB18, ATG16L1, ATG4B, B3GNT7, BOK, BOK-AS1, C2orf54, C2orf57, C2orf72, C2orf82, C2orf83, CAB39, CAPN10, CCL20, CHRND, CHRNG, COL4A3, COL4A4, COL6A3, COPS7B, COPS8, CXCR7, CXXC11, D2HGDH, DGKD, DIS3L2, DNAJB3, DNER, DTYMK, DUSP28, ECEL1, ECEL1P2, EFHD1, EIF4E2, ESPNL, FARP2, FBXO36, FLJ43879, GAL3ST2, GBX2, GIGYF2, GPC1, GPR35, GPR55, HDAC4, HDLBP, HES6, HJURP, HTR2B, ILKAP, ING5, INPP5D, IQCA1, IRS1, ITM2C, KCNJ13, KIF1A, KLHL30, LINC00471, LOC100286922, LOC150935, LOC151171, LOC151174, LOC151475, LOC151484, LOC200772, LOC348761, LOC643387, LOC728323, LRRFIP1, MFF, MGC16025, MIR1244-1, MIR1244-2, MIR1244-3, MIR1471, MIR149, MIR2467, MIR4269, MIR4440, MIR4441, MIR4777, MIR4786, MLPH, MSL3P1, MTERFD2, MYEOV2, NCL, NDUFA10, NEU2, NEU4, NGEF, NMUR1, NPPC, OR6B2, OR6B3, OTOS, PASK, PDCD1, PDE6D, PER2, PID1, PP14571, PPP1R7, PRLH, PRR21, PRSS56, PSMD1, PTMA, RAB17, RAMP1, RBM44, RHBDD1, RNPEPL1, SAG, SCARNA5, SCARNA6, SCLY, SEPT2, SH3BP4, SLC16A14, SLC19A3, SNED1, SNORA75, SNORD20, SNORD82, SP100, SP110, SP140, SP140L, SPATA3, SPHKAP, SPP2, STK25, THAP4, TIGD1, TM4SF20, TRAF3IP1, TRIP12, TRPM8, TWIST2, UBE2F, UBE2F-SCLY, UGT1A1, UGT1A10, UGT1A3, UGT1A4, UGT1A5, UGT1A6, UGT1A7, UGT1A8, UGT1A9, USP40, WDR69, hsa-mir-1244-1, hsa-mir-1471, hsa-mir-149, hsa-mir-3133, hsa-mir-4269, hsa-mir-562","Osteosarcoma","Primary"
"1q21.1","Amp","chr1:121106277-143402920",0.043243,17,36,4,"EMBP1, LOC375010, hsa-mir-3118-1, hsa-mir-3118-2","Osteosarcoma","Primary"
"13q14.3","Del","chr13:40173906-76104769",0.079754,28,36,143,"AKAP11, ALG11, ARL11, ATP7B, ATXN8OS, BORA, C13orf15, CAB39L, CCDC122, CCDC70, CDADC1, CKAP2, COG3, COG6, CPB2, CTAGE10P, CTAGE11P, CYSLTR2, DACH1, DGKH, DHRS12, DIAPH3, DIS3, DLEU1, DLEU2, DLEU7, DNAJC15, EBPL, ELF1, ENOX1, EPSTI1, ESD, FAM124A, FAM194B, FAM216B, FNDC3A, FOXO1, GTF2F2, GUCY1B2, HNRNPA1L2, HTR2A, INTS6, ITM2B, KBTBD6, KBTBD7, KCNRG, KCTD4, KIAA0226L, KIAA0564, KIAA1704, KLF12, KLF5, KLHL1, KPNA3, LACC1, LCP1, LECT1, LINC00282, LINC00284, LINC00330, LINC00347, LINC00548, LINC00550, LOC100507240, LOC100509894, LOC100616668, LPAR6, LRCH1, MED4, MIR1297, MIR15A, MIR16-1, MIR3169, MIR320D1, MIR3613, MIR4305, MIR4703, MIR621, MIR759, MLNR, MRPS31, MTRF1, MZT1, NAA16, NEK3, NEK5, NUDT15, NUFIP1, OLFM4, OR7E156P, OR7E37P, PCDH17, PCDH20, PCDH8, PCDH9, PHF11, PIBF1, PRR20A, PRR20B, PRR20C, PRR20D, PRR20E, RB1, RCBTB1, RCBTB2, RNASEH2B, SERP2, SERPINE3, SETDB2, SIAH3, SLC25A15, SLC25A30, SNORA31, SPERT, SPRYD7, ST13P4, SUCLA2, SUGT1, SUGT1P3, TBC1D4, TDRD3, THSD1, THSD1P1, TNFSF11, TPT1, TPT1-AS1, TPTE2P3, TRIM13, TSC22D1, TSC22D1-AS1, TTL, UTP14C, VPS36, WBP4, WDFY2, ZC3H13, hsa-mir-1297, hsa-mir-15a, hsa-mir-3168, hsa-mir-3169, hsa-mir-4305, hsa-mir-621, hsa-mir-759","Osteosarcoma","Primary"
"19p12","Del","chr19:17162129-20803436",0.091317,13,36,108,"ABHD8, ANKLE1, ANO8, ARMC6, ARRDC2, ATP13A1, B3GNT3, BABAM1, BST2, C19orf60, CCDC124, CERS1, CILP2, COMP, COPE, CRLF1, CRTC1, DDA1, DDX49, ELL, FAM125A, FAM129C, FCHO1, FKBP8, GATAD2A, GDF1, GDF15, GLT25D1, GMIP, GTPBP3, HAPLN4, HOMER3, IFI30, IL12RB1, INSL3, ISYNA1, JAK3, JUND, KCNN1, KIAA1683, KLHL26, KXD1, LOC284440, LOC729966, LPAR2, LRRC25, LSM4, MAP1S, MAST3, MAU2, MEF2B, MEF2BNB, MEF2BNB-MEF2B, MIR1270-1, MIR1270-2, MIR3188, MIR3189, MPV17L2, MRPL34, MYO9B, NCAN, NDUFA13, NR2C2AP, NR2F6, NXNL1, OCEL1, PBX4, PDE4C, PGLS, PGPEP1, PIK3R2, PLVAP, RAB3A, RFXANK, RPL18A, SLC25A42, SLC27A1, SLC5A5, SNORA68, SSBP4, SUGP1, SUGP2, TM6SF2, TMEM161A, TMEM221, TMEM59L, TSSK6, UBA52, UNC13A, UPF1, USE1, USHBP1, YJEFN3, ZNF101, ZNF14, ZNF253, ZNF486, ZNF506, ZNF682, ZNF737, ZNF826P, ZNF90, ZNF93, hsa-mir-1270-1, hsa-mir-1270-2, hsa-mir-3188, hsa-mir-3189, hsa-mir-640","Osteosarcoma","Primary"
"16q24.3","Del","chr16:89238117-90354753",0.091317,14,36,30,"AFG3L1P, ANKRD11, C16orf3, C16orf55, C16orf7, CDH15, CDK10, CENPBD1, CHMP1A, CPNE7, DBNDD1, DEF8, DPEP1, FANCA, GAS8, LOC100128881, LOC100130015, LOC100287036, MC1R, PRDM7, RPL13, SLC22A31, SNORD68, SPATA2L, SPG7, SPIRE2, TCF25, TUBB3, ZNF276, ZNF778","Osteosarcoma","Primary"
"10q21.3","Del","chr10:61505863-77321172",0.092649,23,36,121,"ADAMTS14, ADK, ADO, AGAP5, AIFM2, ANAPC16, ANK3, ANXA2P3, ANXA7, AP3M1, ARID5B, ASCC1, ATOH7, BMS1P4, C10orf103, C10orf105, C10orf107, C10orf27, C10orf35, C10orf40, C10orf54, C10orf55, CAMK2G, CCAR1, CCDC6, CDH23, CDK1, CHCHD1, CHST3, COL13A1, COMTD1, CTNNA3, DDIT4, DDX21, DDX50, DNA2, DNAJB12, DNAJC12, DNAJC9, DUPD1, DUSP13, ECD, EGR2, EIF4EBP2, FAM149B1, FUT11, H2AFY2, HERC4, HK1, HKDC1, HNRNPH3, JMJD1C, KAT6B, KIAA0913, KIAA1274, KIAA1279, LOC100507331, LOC728978, LOC84989, LRRC20, LRRTM3, MCU, MICU1, MIR1256, MIR1296, MIR4676, MRPS16, MYOZ1, MYPN, NDST2, NEUROG3, NODAL, NPFFR1, NRBF2, NUDT13, OIT3, P4HA1, PBLD, PCBD1, PLA2G12B, PLAU, PPA1, PPP3CB, PRF1, PSAP, REEP3, RHOBTB1, RTKN2, RUFY2, SAMD8, SAR1A, SEC24C, SGPL1, SIRT1, SLC25A16, SLC29A3, SNORD98, SPOCK2, SRGN, STOX1, SUPV3L1, SYNPO2L, TACR2, TET1, TMEM26, TSPAN15, TTC18, TYSND1, UNC5B, USP54, VCL, VDAC2, VPS26A, ZMYND17, ZNF365, ZNF503, ZNF503-AS1, ZNF503-AS2, hsa-mir-1254, hsa-mir-1296, hsa-mir-606","Osteosarcoma","Primary"
